Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2024,7,79.19,2.35,76.6,75.54,79.35,78.93,79.32,2024-02-12,-3.409521404217708,0.0,-1.0,-1.0,1.0,-1.0,3.529873186037391,0.9849728501073383,-0.975365762160807,-1.4900871322136542,1.5126265863350863,2.336153554741771,-2.2828232971372264,8.170223513069832,-7.553116974083585,-1.1743907058971998,1.1883465371837376,-7.1599949488571815,7.712187159956474,-2.0
2024,6,76.84,4.56,72.75,71.41,77.29,76.55,76.63,2024-02-05,3.058302967204573,0.0,-1.0,1.0,1.0,-1.0,-2.967546407374666,-0.45549193128579973,0.457576153745598,4.073399271212904,-3.9139677379017024,1.5226444560124957,-1.499807716959367,13.10515356585111,-11.58669888390288,1.6527850078084279,-1.6259121751376227,0.41644976574699794,-0.4147226542249749,0.0
2024,5,72.28,-5.73,78.9,71.79,79.29,72.28,72.5,2024-01-29,6.308799114554513,0.0,-1.0,-1.0,1.0,-1.0,-5.934409161894849,9.560044272274483,-8.725849223386783,5.824571112340888,-5.503987449339776,10.639180962921966,-9.616106039764905,15.066408411732155,-13.09366358061801,16.007194244604307,-13.798449612403097,10.86054233536247,-9.796580556595524,-2.0
2024,4,78.01,4.6,73.41,72.89,78.26,78.21,78.26,2024-01-22,-7.345212152288173,0.0,-1.0,-1.0,1.0,1.0,7.927504150525744,-1.4998077169593662,1.5226444560124897,1.5126265863350756,-1.4900871322136577,-1.9484681451096144,1.9871878676951393,3.3585437764389057,-3.249410889247162,6.5760799897448985,-6.170315131104154,5.383925137802831,-5.108867534363204,0.0
2024,3,73.41,0.73,72.63,70.5,74.91,73.41,75.2,2024-01-15,6.2661762702629185,0.0,-1.0,1.0,1.0,1.0,-5.896679912831704,-1.5392998229124035,1.5633646928610911,4.672387958043873,-4.463820926600737,7.873586704808611,-7.298901376436417,10.393679335240444,-9.415103652517287,16.687099850156656,-14.300723791734772,13.281569268492033,-11.724386724386726,2.0
2024,2,72.68,-1.13,73.51,70.13,75.25,72.72,72.79,2024-01-08,1.004402861860195,0.0,-1.0,-1.0,1.0,1.0,-0.9944149298460547,7.333516785910839,-6.832457377259327,-0.5503577325261497,0.5534034311012848,5.7237204182718715,-5.413846954711088,7.333516785910839,-6.832457377259327,19.578976334617483,-16.373259693936248,12.190423775454043,-10.865832720137359,0.0
2024,1,73.81,2.16,71.71,69.28,74.24,73.94,73.99,2024-01-01,-1.530957864787963,0.0,-1.0,1.0,1.0,-1.0,1.5547605943863507,-0.541931987535572,0.5448848930663441,5.690285869123429,-5.383925137802848,-2.072889852323535,2.116768123962376,8.345752608047686,-7.702888583218703,12.681208508332203,-11.254057953589037,9.375423384365265,-8.571782484825963,0.0
2023,52,71.65,-1.91,73.56,71.25,76.18,71.3,71.35,2023-12-25,3.014654570830421,0.0,-1.0,-1.0,1.0,1.0,-2.9264327326920414,1.4375436147941396,-1.4171711612548155,2.4563852058618156,-2.3974935294918787,8.876482903000696,-8.152800922958592,6.755059316120013,-6.3276245260818325,12.533147243544995,-11.137293811236503,9.49057920446615,-8.667941363926069,0.0
2023,51,73.56,2.13,71.68,70.64,75.37,73.47,73.53,2023-12-18,-2.596519847743334,0.0,-1.0,1.0,-1.0,1.0,2.6657362177250565,0.33985861881457313,-0.3387074922097222,-1.1963023382272913,1.2107870115575015,-0.20391517128875158,0.2043318348998957,7.653616095704181,-7.109483520646542,10.168569874932034,-9.23000987166832,2.6780859162588344,-2.608235138355619,0.0
2023,50,71.43,0.2,71.15,67.71,72.46,71.2,71.99,2023-12-11,2.9819403611927693,0.0,-1.0,-1.0,-1.0,-1.0,-2.8955954323001576,0.3079938401231959,-0.30704815073272496,3.3319333613327666,-3.224495325836596,1.7499650006999858,-1.7198679141441908,7.573848523029533,-7.0406038521603325,9.211815763684724,-8.434816049224459,7.78384432311352,-7.221717106117664,-4.0
2023,49,71.23,-2.84,74.58,68.8,75.03,71.24,71.31,2023-12-04,0.280780569984561,0.0,-1.0,-1.0,-1.0,1.0,-0.2799944001120047,3.271093640320087,-3.1674823273518227,0.5896391969675722,-0.5861828332170305,3.622069352800784,-3.495461319604387,1.4740979924189206,-1.4526840066408364,12.270110908325137,-10.929098411904459,9.11132949599887,-8.350488934637157,-2.0
2023,48,74.07,-1.47,75.31,73.93,79.6,74.36,74.41,2023-11-27,-3.834210881598474,0.0,1.0,-1.0,-1.0,1.0,3.9870840937807017,-3.5641960307816754,3.695926081478351,-0.6885378695828148,0.693311582381706,-3.267179694883202,3.3775296580599967,5.319292561090876,-5.050634534034115,3.267179694883221,-3.1638122630409216,8.086944781963021,-7.481888583562335,0.0
2023,47,75.54,-0.35,75.65,73.79,78.22,75.14,75.22,2023-11-20,-1.9459888800635599,0.0,1.0,-1.0,-1.0,-1.0,1.9846091535034693,-5.70558644426794,6.050821283167207,-5.4408260524225565,5.753884922301555,-2.6211278792692663,2.691680261011431,-2.819698173153309,2.9015120555782703,4.831877151178172,-4.609167824220217,3.6007413290971653,-3.4755941732685924,-2.0
2023,46,75.89,-1.28,77.15,72.16,79.77,71.5,75.9,2023-11-13,-0.4611938331795945,0.0,1.0,-1.0,-1.0,-1.0,0.46333068572941283,-2.3982079325339405,2.4571351424328425,-6.1404664646198395,6.542187280640177,-5.87692713137435,6.243875122497533,-4.229806298590056,4.416620803522275,1.2518118329160663,-1.236335242061426,2.925286599024903,-2.8421456919728527,-2.0
